model,attribution_method,example_id,warning_type,details
BanglaBERT,SHAP,2326,subword_count_mismatch,"Subwords count mismatch: subwords=11, content_tokens=12, total_tokens=13"
BanglaBERT,SHAP,2559,subword_count_mismatch,"Subwords count mismatch: subwords=8, content_tokens=9, total_tokens=10"
BanglaBERT,SHAP,2569,subword_count_mismatch,"Subwords count mismatch: subwords=1, content_tokens=2, total_tokens=3"
BanglaBERT,SHAP,2696,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=133, total_tokens=135"
BanglaBERT,SHAP,2718,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=228, total_tokens=230"
BanglaBERT,SHAP,2760,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=225, total_tokens=227"
BanglaBERT,SHAP,3931,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=183, total_tokens=185"
BanglaBERT,SHAP,4305,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=391, total_tokens=393"
BanglaBERT,SHAP,4925,subword_count_mismatch,"Subwords count mismatch: subwords=16, content_tokens=17, total_tokens=18"
XLM-R,SHAP,3,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=360, total_tokens=362"
XLM-R,SHAP,166,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=146, total_tokens=148"
XLM-R,SHAP,167,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=387, total_tokens=389"
XLM-R,SHAP,274,subword_count_mismatch,"Subwords count mismatch: subwords=24, content_tokens=25, total_tokens=26"
XLM-R,SHAP,472,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=603, total_tokens=605"
XLM-R,SHAP,517,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=227, total_tokens=229"
XLM-R,SHAP,532,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=148, total_tokens=150"
XLM-R,SHAP,602,subword_count_mismatch,"Subwords count mismatch: subwords=12, content_tokens=13, total_tokens=14"
XLM-R,SHAP,802,subword_count_mismatch,"Subwords count mismatch: subwords=11, content_tokens=12, total_tokens=13"
XLM-R,SHAP,866,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=182, total_tokens=184"
XLM-R,SHAP,927,subword_count_mismatch,"Subwords count mismatch: subwords=24, content_tokens=25, total_tokens=26"
XLM-R,SHAP,1043,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=250, total_tokens=252"
XLM-R,SHAP,1082,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=234, total_tokens=236"
XLM-R,SHAP,1179,subword_count_mismatch,"Subwords count mismatch: subwords=42, content_tokens=43, total_tokens=45"
XLM-R,SHAP,1198,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=153, total_tokens=155"
XLM-R,SHAP,1298,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=382, total_tokens=384"
XLM-R,SHAP,1304,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=159, total_tokens=161"
XLM-R,SHAP,1409,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=297, total_tokens=299"
XLM-R,SHAP,1492,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=517, total_tokens=519"
XLM-R,SHAP,1530,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=217, total_tokens=219"
XLM-R,SHAP,1560,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=132, total_tokens=134"
XLM-R,SHAP,1570,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=174, total_tokens=176"
XLM-R,SHAP,1619,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=162, total_tokens=164"
XLM-R,SHAP,1636,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=371, total_tokens=373"
XLM-R,SHAP,1693,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=140, total_tokens=142"
XLM-R,SHAP,1709,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=132, total_tokens=134"
XLM-R,SHAP,1725,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=285, total_tokens=287"
XLM-R,SHAP,1759,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=276, total_tokens=278"
XLM-R,SHAP,1802,subword_count_mismatch,"Subwords count mismatch: subwords=24, content_tokens=25, total_tokens=26"
XLM-R,SHAP,1853,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=134, total_tokens=136"
XLM-R,SHAP,2071,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=463, total_tokens=465"
XLM-R,SHAP,2163,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=259, total_tokens=261"
XLM-R,SHAP,2179,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=391, total_tokens=393"
XLM-R,SHAP,2269,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=203, total_tokens=205"
XLM-R,SHAP,2294,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=391, total_tokens=393"
XLM-R,SHAP,2304,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=213, total_tokens=215"
XLM-R,SHAP,2315,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=196, total_tokens=198"
XLM-R,SHAP,2326,subword_count_mismatch,"Subwords count mismatch: subwords=14, content_tokens=15, total_tokens=16"
XLM-R,SHAP,2518,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=135, total_tokens=137"
XLM-R,SHAP,2559,subword_count_mismatch,"Subwords count mismatch: subwords=12, content_tokens=13, total_tokens=14"
XLM-R,SHAP,2569,subword_count_mismatch,"Subwords count mismatch: subwords=2, content_tokens=3, total_tokens=4"
XLM-R,SHAP,2606,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=130, total_tokens=132"
XLM-R,SHAP,2632,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=176, total_tokens=178"
XLM-R,SHAP,2633,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=140, total_tokens=142"
XLM-R,SHAP,2641,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=167, total_tokens=169"
XLM-R,SHAP,2674,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=137, total_tokens=139"
XLM-R,SHAP,2688,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=170, total_tokens=172"
XLM-R,SHAP,2696,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=192, total_tokens=194"
XLM-R,SHAP,2717,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=170, total_tokens=172"
XLM-R,SHAP,2718,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=333, total_tokens=335"
XLM-R,SHAP,2721,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=149, total_tokens=151"
XLM-R,SHAP,2749,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=130, total_tokens=132"
XLM-R,SHAP,2757,subword_count_mismatch,"Subwords count mismatch: subwords=19, content_tokens=20, total_tokens=22"
XLM-R,SHAP,2760,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=321, total_tokens=323"
XLM-R,SHAP,2769,subword_count_mismatch,"Subwords count mismatch: subwords=23, content_tokens=24, total_tokens=26"
XLM-R,SHAP,2780,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=199, total_tokens=201"
XLM-R,SHAP,2828,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=133, total_tokens=135"
XLM-R,SHAP,2973,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=129, total_tokens=131"
XLM-R,SHAP,3142,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=164, total_tokens=166"
XLM-R,SHAP,3626,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=129, total_tokens=131"
XLM-R,SHAP,3634,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=165, total_tokens=167"
XLM-R,SHAP,3875,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=164, total_tokens=166"
XLM-R,SHAP,3931,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=285, total_tokens=287"
XLM-R,SHAP,4074,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=147, total_tokens=149"
XLM-R,SHAP,4208,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=169, total_tokens=171"
XLM-R,SHAP,4286,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=130, total_tokens=132"
XLM-R,SHAP,4305,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=579, total_tokens=581"
XLM-R,SHAP,4389,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=190, total_tokens=192"
XLM-R,SHAP,4814,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=147, total_tokens=149"
XLM-R,SHAP,4925,subword_count_mismatch,"Subwords count mismatch: subwords=20, content_tokens=21, total_tokens=22"
XLM-R,SHAP,5020,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=177, total_tokens=179"
