metric,baseline,budget,mean_h,mean_b,delta,ci_lower,ci_upper,raw_p,holm_p,significant_holm,cohens_dz
comprehensiveness,sum,30,0.3182818515164067,0.2524814074158077,0.06580044410059899,0.057573147102425636,0.07402544968307867,9.999000099990002e-05,0.0027997200279972004,True,0.22390406974593177
suff_efficiency,max,10,1.1941146243251535,3.53539847502863,-2.3412838507034768,-2.455926935857074,-2.2283745109090156,9.999000099990002e-05,0.0008999100089991002,True,-0.5703401985415907
suff_efficiency,mean,10,1.1941146243251535,3.6597178506555066,-2.4656032263303533,-2.581761347002545,-2.3511736049884266,9.999000099990002e-05,0.0023997600239976003,True,-0.5883034171109645
suff_efficiency,sum,10,1.1941146243251535,3.493316707963618,-2.299202083638465,-2.4127858341035466,-2.1882168331016416,9.999000099990002e-05,0.0032996700329967006,True,-0.5653391264353438
suff_efficiency,max,20,0.8068250348437228,1.8530709093563353,-1.046245874512613,-1.1030497646054078,-0.9896343433551449,9.999000099990002e-05,0.0011998800119988001,True,-0.5125992463271316
suff_efficiency,mean,20,0.8068250348437228,1.9986769041133796,-1.191851869269657,-1.252387411235237,-1.1323977651950599,9.999000099990002e-05,0.0017998200179982003,True,-0.5521998063761365
suff_efficiency,sum,20,0.8068250348437228,1.8315942888580397,-1.0247692540143167,-1.0816508217592171,-0.9688026526918334,9.999000099990002e-05,0.0028997100289971005,True,-0.5107851383284663
suff_efficiency,max,30,0.5431624393107928,1.0044385489632577,-0.461276109652465,-0.495367223987373,-0.4276454291497889,9.999000099990002e-05,0.0006999300069993001,True,-0.3818855152219838
suff_efficiency,mean,30,0.5431624393107928,1.1106943456174554,-0.5675319063066626,-0.603827075502107,-0.5305916807201176,9.999000099990002e-05,0.0013998600139986002,True,-0.4310557453044754
suff_efficiency,sum,30,0.5431624393107928,0.9883850609656719,-0.4452226216548791,-0.47827067847656674,-0.4125396705587372,9.999000099990002e-05,0.0025997400259974005,True,-0.3775015497143044
sufficiency,max,10,0.183562947704096,0.3661301169131669,-0.1825671692090709,-0.19183910153501282,-0.17332407924101872,9.999000099990002e-05,0.0018998100189981002,True,-0.545376954133275
sufficiency,mean,10,0.183562947704096,0.382908544011657,-0.19934559630756102,-0.2091176074410383,-0.1897440018425011,9.999000099990002e-05,0.0022997700229977006,True,-0.5690692893945445
sufficiency,sum,10,0.183562947704096,0.3606903307096076,-0.1771273830055116,-0.18631322401317102,-0.1681620940419236,9.999000099990002e-05,0.0034996500349965005,True,-0.5410418565299923
sufficiency,max,20,0.17445330806503853,0.31559674685872235,-0.14114343879368382,-0.14951347370072046,-0.13266621983916377,9.999000099990002e-05,0.0010998900109989002,True,-0.46231926466624046
sufficiency,mean,20,0.17445330806503853,0.3407302339026361,-0.16627692583759757,-0.17529362653916097,-0.1572752221749669,9.999000099990002e-05,0.0021997800219978004,True,-0.5103264308779041
sufficiency,sum,20,0.17445330806503853,0.3114783258437903,-0.13702501777875176,-0.1453256978473187,-0.12870901757042136,9.999000099990002e-05,0.0030996900309969004,True,-0.4615335160041032
sufficiency,max,30,0.15587527924597386,0.24704301463721365,-0.09116773539123978,-0.09861730197112663,-0.08371261244669997,9.999000099990002e-05,0.0007999200079992001,True,-0.33968287753743703
sufficiency,mean,30,0.15587527924597386,0.2727939366586329,-0.11691865741265899,-0.12509632271657423,-0.10865360945580256,9.999000099990002e-05,0.0014998500149985003,True,-0.396652028583597
sufficiency,sum,30,0.15587527924597386,0.24301171360257678,-0.08713643435660293,-0.09448089671894401,-0.07981719665279345,9.999000099990002e-05,0.0026997300269973002,True,-0.33279288501101156
